Timestamp,Receive port,Protocol,Service,Original bytes,Receive bytes,State,Label
2018-09-06 09:43:20,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:21,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:23,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:28,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:28,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:30,22.0,tcp,-,1008,2496,OTH,Benign
2018-09-06 09:43:43,8081.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:43:51,0.0,icmp,-,80,0,OTH,Benign
2018-09-06 09:43:53,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:43:55,80.0,tcp,-,0,0,RSTO,Benign
2018-09-06 09:43:56,1.0,icmp,-,56,0,OTH,Benign
2018-09-06 09:44:02,8081.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:44:04,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:04,1.0,icmp,-,88,0,OTH,Benign
2018-09-06 09:44:07,0.0,icmp,-,80,0,OTH,Benign
2018-09-06 09:44:10,80.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:44:13,80.0,tcp,-,0,0,RSTO,Benign
2018-09-06 09:44:16,8081.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:44:18,80.0,tcp,-,0,0,RSTO,Benign
2018-09-06 09:44:20,80.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:44:25,10.0,icmp,-,80,0,OTH,Benign
2018-09-06 09:44:26,80.0,tcp,-,0,0,REJ,Benign
2018-09-06 09:44:29,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:29,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:32,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:34,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:36,123.0,udp,-,96,96,SF,Benign
2018-09-06 09:44:36,10.0,icmp,-,80,0,OTH,Benign
2018-09-06 09:44:42,13.0,icmp,-,56,0,OTH,Benign
